"","FIPS","State","Year","n","total_n","power"
"213",NA,"Alabama",1990,4048508,249464396,1.6228800842586
"214",NA,"Alabama",2000,4369862,272690813,1.60249696420832
"215",NA,"Alaska",1913,61560,97499636,0.0631386972562646
"216",NA,"Alaska",1920,55036,106773917,0.0515444235318257
"217",NA,"Alaska",1930,59278,123502578,0.0479973786458126
"218",NA,"Alaska",1940,72524,132450294,0.0547556353480046
"219",NA,"Alaska",1950,135000,151870000,0.0888918153684072
"220",NA,"Alaska",1960,229000,179972000,0.127242015424622
"221",NA,"Alaska",1970,302583,203302031,0.148834223894202
"222",NA,"Alaska",1980,401851,226545805,0.177381788199521
"223",NA,"Alaska",1990,553120,249464396,0.221723022951941
"224",NA,"Alaska",2000,619500,272690813,0.227180370759319
"225",NA,"Arizona",1913,236000,97499636,0.242052185712775
"226",NA,"Arizona",1920,340000,106773917,0.318429827764022
"227",NA,"Arizona",1930,434000,123502578,0.351409668549591
"228",NA,"Arizona",1940,499000,132450294,0.376745105601653
"229",NA,"Arizona",1950,756000,151870000,0.49779416606308
"230",NA,"Arizona",1960,1321000,179972000,0.734003067143778
"231",NA,"Arizona",1970,1775399,203302031,0.873281487286273
"232",NA,"Arizona",1980,2718215,226545805,1.19985227711456
"233",NA,"Arizona",1990,3679056,249464396,1.47478199654591
"234",NA,"Arizona",2000,4778332,272690813,1.75228932263296
"235",NA,"Arkansas",1913,1664000,97499636,1.70667303824601
"236",NA,"Arkansas",1920,1756000,106773917,1.64459640456948
"237",NA,"Arkansas",1930,1859000,123502578,1.50523173694399
"238",NA,"Arkansas",1940,1955000,132450294,1.47602541372992
"239",NA,"Arkansas",1950,1908000,151870000,1.25633765720682
"240",NA,"Arkansas",1960,1789000,179972000,0.994043517880559
"241",NA,"Arkansas",1970,1923322,203302031,0.946041704817007
"242",NA,"Arkansas",1980,2286435,226545805,1.00925947403882
"243",NA,"Arkansas",1990,2354343,249464396,0.943759124648794
"244",NA,"Arkansas",2000,2551373,272690813,0.935628513454907
"245",NA,"California",1913,2811000,97499636,2.88308768660429
"246",NA,"California",1920,3554000,106773917,3.32852825845098
"247",NA,"California",1930,5711000,123502578,4.62419497024588
"248",NA,"California",1940,6950000,132450294,5.24725147080459
"249",NA,"California",1950,10677000,151870000,7.03035490880358
"250",NA,"California",1960,15870000,179972000,8.8180383615229
"251",NA,"California",1970,19971069,203302031,9.82334947750719
"252",NA,"California",1980,23667902,226545805,10.4472921050116
"253",NA,"California",1990,29950111,249464396,12.0057657446235
"254",NA,"California",2000,33145121,272690813,12.154835960682
"255",NA,"Colorado",1913,835000,97499636,0.85641345368715
"256",NA,"Colorado",1920,937000,106773917,0.877555142984967
"257",NA,"Colorado",1930,1040000,123502578,0.842087685003628
"258",NA,"Colorado",1940,1130000,132450294,0.853150239138012
"259",NA,"Colorado",1950,1325000,151870000,0.872456706393626
"260",NA,"Colorado",1960,1769000,179972000,0.982930678105483
"261",NA,"Colorado",1970,2209596,203302031,1.08685387407664
"262",NA,"Colorado",1980,2889964,226545805,1.27566431874561
"263",NA,"Colorado",1990,3303862,249464396,1.32438217756734
"264",NA,"Colorado",2000,4056133,272690813,1.48744761709299
"265",NA,"Connecticut",1913,1208000,97499636,1.2389789844959
"266",NA,"Connecticut",1920,1391000,106773917,1.30275261888163
"267",NA,"Connecticut",1930,1613000,123502578,1.30604561145274
"268",NA,"Connecticut",1940,1708000,132450294,1.28954036145816
"269",NA,"Connecticut",1950,2016000,151870000,1.32745110950155
"270",NA,"Connecticut",1960,2544000,179972000,1.41355321938968
"271",NA,"Connecticut",1970,3032217,203302031,1.49148387012425
"272",NA,"Connecticut",1980,3107576,226545805,1.37172083146717
"273",NA,"Connecticut",1990,3289056,249464396,1.31844706208096
"274",NA,"Connecticut",2000,3282031,272690813,1.20357226702757
"275",NA,"Delaware",1913,213000,97499636,0.218462354054327
"276",NA,"Delaware",1920,219000,106773917,0.205106271412708
"277",NA,"Delaware",1930,239000,123502578,0.193518227611411
"278",NA,"Delaware",1940,269000,132450294,0.203095056927544
"279",NA,"Delaware",1950,321000,151870000,0.211364983209324
"280",NA,"Delaware",1960,449000,179972000,0.249483252950459
"281",NA,"Delaware",1970,548104,203302031,0.269600848207955
"282",NA,"Delaware",1980,594338,226545805,0.262347828510883
"283",NA,"Delaware",1990,669063,249464396,0.268199795533147
"284",NA,"Delaware",2000,753538,272690813,0.276334208589565
"285",NA,"District.of.Columbia",1913,358000,97499636,0.367180857988024
"286",NA,"District.of.Columbia",1920,440000,106773917,0.412085659459323
"287",NA,"District.of.Columbia",1930,488000,123502578,0.39513345219401
"288",NA,"District.of.Columbia",1940,690000,132450294,0.520950146022326
"289",NA,"District.of.Columbia",1950,806000,151870000,0.530717060643972
"290",NA,"District.of.Columbia",1960,765000,179972000,0.425066121396662
"291",NA,"District.of.Columbia",1970,756668,203302031,0.372189100265309
"292",NA,"District.of.Columbia",1980,638333,226545805,0.281767742289468
"293",NA,"District.of.Columbia",1990,603814,249464396,0.242044159279547
"294",NA,"District.of.Columbia",2000,519000,272690813,0.190325443783836
"295",NA,"Florida",1913,828000,97499636,0.849233939704144
"296",NA,"Florida",1920,962000,106773917,0.900969100908792
"297",NA,"Florida",1930,1471000,123502578,1.19106825446186
"298",NA,"Florida",1940,1915000,132450294,1.44582540526486
"299",NA,"Florida",1950,2810000,151870000,1.85026667544611
"300",NA,"Florida",1960,5004000,179972000,2.78043251172405
"301",NA,"Florida",1970,6791418,203302031,3.34055590423492
"302",NA,"Florida",1980,9746324,226545805,4.30214278300143
"303",NA,"Florida",1990,13018365,249464396,5.2185262541433
"304",NA,"Florida",2000,15111244,272690813,5.54153028983782
"305",NA,"Georgia",1913,2733000,97499636,2.8030873879365
"306",NA,"Georgia",1920,2926000,106773917,2.7403696354045
"307",NA,"Georgia",1930,2910000,123502578,2.35622611861592
"308",NA,"Georgia",1940,3119000,132450294,2.35484566006324
"309",NA,"Georgia",1950,3458000,151870000,2.27694738921446
"310",NA,"Georgia",1960,3956000,179972000,2.19811970751006
"311",NA,"Georgia",1970,4587930,203302031,2.2567064270991
"312",NA,"Georgia",1980,5463105,226545805,2.41147921498701
"313",NA,"Georgia",1990,6506531,249464396,2.60820024994669
"314",NA,"Georgia",2000,7788240,272690813,2.85606981559734
"315",NA,"Hawaii",1913,211076,97499636,0.216489013353855
"316",NA,"Hawaii",1920,255881,106773917,0.239647478700252
"317",NA,"Hawaii",1930,368300,123502578,0.298212398448881
"318",NA,"Hawaii",1940,422770,132450294,0.31919143946936
"319",NA,"Hawaii",1950,498000,151870000,0.32791203002568
"320",NA,"Hawaii",1960,642000,179972000,0.356722156779944
"321",NA,"Hawaii",1970,769913,203302031,0.378704037639447
"322",NA,"Hawaii",1980,964691,226545805,0.425826026661584
"323",NA,"Hawaii",1990,1112703,249464396,0.44603679636913
"324",NA,"Hawaii",2000,1185497,272690813,0.434740351887102
"325",NA,"Idaho",1913,371000,97499636,0.380514241099321
"326",NA,"Idaho",1920,433000,106773917,0.405529751240652
"327",NA,"Idaho",1930,447000,123502578,0.361935764612136
"328",NA,"Idaho",1940,522000,132450294,0.394110110469064
"329",NA,"Idaho",1950,590000,151870000,0.38849015605452
"330",NA,"Idaho",1960,671000,179972000,0.372835774453804
"331",NA,"Idaho",1970,713015,203302031,0.350717106215235
"332",NA,"Idaho",1980,943935,226545805,0.416664082568203
"333",NA,"Idaho",1990,1011882,249464396,0.405621810657101
"334",NA,"Idaho",2000,1251700,272690813,0.459018030798126
"335",NA,"Illinois",1913,5961000,97499636,6.11386897895701
"336",NA,"Illinois",1920,6663000,106773917,6.24028806585788
"337",NA,"Illinois",1930,7644000,123502578,6.18934448477667
"338",NA,"Illinois",1940,7905000,132450294,5.96827667290795
"339",NA,"Illinois",1950,8738000,151870000,5.75360505695661
"340",NA,"Illinois",1960,10086000,179972000,5.60420509857089
"341",NA,"Illinois",1970,11110285,203302031,5.46491589156824
"342",NA,"Illinois",1980,11426518,226545805,5.04380030343091
"343",NA,"Illinois",1990,11446979,249464396,4.58862233791471
"344",NA,"Illinois",2000,12128370,272690813,4.44766358887199
"345",NA,"Indiana",1913,2824000,97499636,2.89642106971558
"346",NA,"Indiana",1920,2947000,106773917,2.76003736006051
"347",NA,"Indiana",1930,3242000,123502578,2.62504641805939
"348",NA,"Indiana",1940,3433000,132450294,2.59191572651398
"349",NA,"Indiana",1950,3967000,151870000,2.61210245604794
"350",NA,"Indiana",1960,4674000,179972000,2.59707065543529
"351",NA,"Indiana",1970,5195392,203302031,2.55550422907482
"352",NA,"Indiana",1980,5490224,226545805,2.42344986260063
"353",NA,"Indiana",1990,5555097,249464396,2.22680955241404
"354",NA,"Indiana",2000,5942901,272690813,2.17935504853257
"355",NA,"Iowa",1913,2305000,97499636,2.36411139011842
"356",NA,"Iowa",1920,2400000,106773917,2.24773996068722
"357",NA,"Iowa",1930,2475000,123502578,2.00400675036921
"358",NA,"Iowa",1940,2537000,132450294,1.91543553689658
"359",NA,"Iowa",1950,2625000,151870000,1.72845196549681
"360",NA,"Iowa",1960,2756000,179972000,1.53134932100549
"361",NA,"Iowa",1970,2825368,203302031,1.38973919055437
"362",NA,"Iowa",1980,2913808,226545805,1.28618934259233
"363",NA,"Iowa",1990,2779769,249464396,1.11429488318646
"364",NA,"Iowa",2000,2869413,272690813,1.05225877191543
"365",NA,"Kansas",1913,1663000,97499636,1.70564739339129
"366",NA,"Kansas",1920,1769000,106773917,1.65677166268987
"367",NA,"Kansas",1930,1883000,123502578,1.52466452967484
"368",NA,"Kansas",1940,1788000,132450294,1.34994037838829
"369",NA,"Kansas",1950,1916000,151870000,1.26160532033976
"370",NA,"Kansas",1960,2183000,179972000,1.21296646144956
"371",NA,"Kansas",1970,2249071,203302031,1.10627079765868
"372",NA,"Kansas",1980,2363679,226545805,1.0433558899932
"373",NA,"Kansas",1990,2480683,249464396,0.994403626239313
"374",NA,"Kansas",2000,2654052,272690813,0.973282513921729
"375",NA,"Kentucky",1913,2374000,97499636,2.43488088509377
"376",NA,"Kentucky",1920,2421000,106773917,2.26740768534323
"377",NA,"Kentucky",1930,2623000,123502578,2.1238423055428
"378",NA,"Kentucky",1940,2859000,132450294,2.15854560504033
"379",NA,"Kentucky",1950,2936000,151870000,1.93323236978995
"380",NA,"Kentucky",1960,3041000,179972000,1.68970728780032
"381",NA,"Kentucky",1970,3220711,203302031,1.5842001106226
"382",NA,"Kentucky",1980,3660777,226545805,1.61591030123025
"383",NA,"Kentucky",1990,3692584,249464396,1.48020481447781
"384",NA,"Kentucky",2000,3960825,272690813,1.45249667798673
"385",NA,"Louisiana",1913,1727000,97499636,1.77128866409306
"386",NA,"Louisiana",1920,1813000,106773917,1.6979802286358
"387",NA,"Louisiana",1930,2105000,123502578,1.70441786243523
"388",NA,"Louisiana",1940,2370000,132450294,1.78935050155495
"389",NA,"Louisiana",1950,2697000,151870000,1.77586093369329
"390",NA,"Louisiana",1960,3260000,179972000,1.81139288333741
"391",NA,"Louisiana",1970,3644637,203302031,1.79272040818913
"392",NA,"Louisiana",1980,4205900,226545805,1.85653404617225
"393",NA,"Louisiana",1990,4219179,249464396,1.69129505759211
"394",NA,"Louisiana",2000,4372035,272690813,1.60329383740552
"395",NA,"Maine",1913,763000,97499636,0.782567024147659
"396",NA,"Maine",1920,771000,106773917,0.722086462370768
"397",NA,"Maine",1930,800000,123502578,0.647759757695099
"398",NA,"Maine",1940,849000,132450294,0.640995179670949
"399",NA,"Maine",1950,917000,151870000,0.603805886613551
"400",NA,"Maine",1960,975000,179972000,0.541750939034961
"401",NA,"Maine",1970,993722,203302031,0.488790985073828
